rn,site,organism,pfinal,zfinal,metfinal,,,,,,,,,,,,,
1,gutr,wasp,0.108,0.515896378,ISA,,,,,,,,,,,,,
2,gutr,wasp,0,15.84319027,links per species,,,,,,,,,,,,,
3,gutr,wasp,0,8.602270181,NODF,,,,,,,,,,,,,
4,gutr,wasp,0.024,-4.295284231,CC Overall,,,,,,,,,,,,,
5,gutr,wasp,0,-7.95610329,CC Pollinators,,,,,,,,,,,,,
6,gutr,wasp,0,-15.56551313,CC Plants,,,,,,,,,,,,,
7,gutr,bee,0.418,0.245976722,ISA,,,,,,,,,,,,,
8,gutr,bee,0,12.91539734,links per species,,,,,,,,,,,,,
9,gutr,bee,0,8.832358465,NODF,,,,,,,,,,,,,
10,gutr,bee,0,-9.620966909,CC Overall,,,,,,,,,,,,,
11,gutr,bee,0,-15.89523922,CC Pollinators,,,,,,,,,,,,,
12,gutr,bee,0,-13.46384647,CC Plants,,,,,,,,,,,,,
13,gutr,combined,0.345,-0.364863664,ISA,,,,,,,,,,,,,
14,gutr,combined,0,11.47334706,links per species,,,,,,,,,,,,,
15,gutr,combined,0,7.659327104,NODF,,,,,,,,,,,,,
16,gutr,combined,0,-8.939078552,CC Overall,,,,,,,,,,,,,
17,gutr,combined,0,-17.18301595,CC Pollinators,,,,,,,,,,,,,
18,gutr,combined,0,-15.56010983,CC Plants,,,,,,,,,,,,,
19,gutc,wasp,NA,NA,ISA,,,,,,,,,,,,,
20,gutc,wasp,0,5.455946892,links per species,,,,,,,,,,,,,
21,gutc,wasp,0,9.621307825,NODF,,,,,,,,,,,,,
22,gutc,wasp,0.274,-2.456870726,CC Overall,,,,,,,,,,,,,
23,gutc,wasp,0.016,-4.754830491,CC Pollinators,,,,,,,,,,,,,
24,gutc,wasp,0,-10.97066868,CC Plants,,,,,,,,,,,,,
25,gutc,bee,0.186,0.636861324,ISA,,,,,,,,,,,,,
26,gutc,bee,0,9.145116175,links per species,,,,,,,,,,,,,
27,gutc,bee,0,8.610687135,NODF,,,,,,,,,,,,,
28,gutc,bee,0.003,-4.865302614,CC Overall,,,,,,,,,,,,,
29,gutc,bee,0.005,-5.067733164,CC Pollinators,,,,,,,,,,,,,
30,gutc,bee,0,-10.35028055,CC Plants,,,,,,,,,,,,,
31,gutc,combined,0.332,0.407754059,ISA,,,,,,,,,,,,,
32,gutc,combined,0,8.432322801,links per species,,,,,,,,,,,,,
33,gutc,combined,0,8.162486811,NODF,,,,,,,,,,,,,
34,gutc,combined,0.147,-5.088836189,CC Overall,,,,,,,,,,,,,
35,gutc,combined,0,-6.757053031,CC Pollinators,,,,,,,,,,,,,
36,gutc,combined,0,-9.670281866,CC Plants,,,,,,,,,,,,,
37,smer,wasp,0.107,0.472395595,ISA,,,,,,,,,,,,,
38,smer,wasp,0,23.52081101,links per species,,,,,,,,,,,,,
39,smer,wasp,0,16.14736444,NODF,,,,,,,,,,,,,
40,smer,wasp,0,-4.438974648,CC Overall,,,,,,,,,,,,,
41,smer,wasp,0,-6.125584293,CC Pollinators,,,,,,,,,,,,,
42,smer,wasp,0,-14.28481035,CC Plants,,,,,,,,,,,,,
43,smer,bee,0.154,0.92259683,ISA,,,,,,,,,,,,,
44,smer,bee,0,14.83464782,links per species,,,,,,,,,,,,,
45,smer,bee,0,12.11792405,NODF,,,,,,,,,,,,,
46,smer,bee,0,-6.84665087,CC Overall,,,,,,,,,,,,,
47,smer,bee,0,-12.47263508,CC Pollinators,,,,,,,,,,,,,
48,smer,bee,0,-12.94002401,CC Plants,,,,,,,,,,,,,
49,smer,combined,0.492,-0.00267628,ISA,,,,,,,,,,,,,
50,smer,combined,0,14.53869305,links per species,,,,,,,,,,,,,
51,smer,combined,0,11.08175624,NODF,,,,,,,,,,,,,
52,smer,combined,0,-8.36915321,CC Overall,,,,,,,,,,,,,
53,smer,combined,0,-14.47988937,CC Pollinators,,,,,,,,,,,,,
54,smer,combined,0,-15.03728699,CC Plants,,,,,,,,,,,,,
55,smir,wasp,NA,NA,ISA,,,,,,,,,,,,,
56,smir,wasp,0,-42.29049467,links per species,,,,,,,,,,,,,
57,smir,wasp,0.001,-0.031622777,NODF,,,,,,,,,,,,,
58,smir,wasp,0.003,-346.7935407,CC Overall,,,,,,,,,,,,,
59,smir,wasp,0.481,-6.103704548,CC Pollinators,,,,,,,,,,,,,
60,smir,wasp,0.003,-182.3120448,CC Plants,,,,,,,,,,,,,
61,smir,bee,0.111,1.070170129,ISA,,,,,,,,,,,,,
62,smir,bee,0,13.8113047,links per species,,,,,,,,,,,,,
63,smir,bee,0,10.58102136,NODF,,,,,,,,,,,,,
64,smir,bee,0,-5.257582651,CC Overall,,,,,,,,,,,,,
65,smir,bee,0,-9.596909892,CC Pollinators,,,,,,,,,,,,,
66,smir,bee,0,-11.34217424,CC Plants,,,,,,,,,,,,,
67,smir,combined,0.194,0.796869109,ISA,,,,,,,,,,,,,
68,smir,combined,0,13.49102944,links per species,,,,,,,,,,,,,
69,smir,combined,0,9.418690095,NODF,,,,,,,,,,,,,
70,smir,combined,0,-5.53160081,CC Overall,,,,,,,,,,,,,
71,smir,combined,0,-9.869452473,CC Pollinators,,,,,,,,,,,,,
72,smir,combined,0,-11.4636589,CC Plants,,,,,,,,,,,,,
73,stor,wasp,NA,NA,ISA,,,,,,,,,,,,,
74,stor,wasp,0,13.32890101,links per species,,,,,,,,,,,,,
75,stor,wasp,0,14.83821951,NODF,,,,,,,,,,,,,
76,stor,wasp,0.012,-3.827707356,CC Overall,,,,,,,,,,,,,
77,stor,wasp,0.018,-5.167965082,CC Pollinators,,,,,,,,,,,,,
78,stor,wasp,0,-17.8548253,CC Plants,,,,,,,,,,,,,
79,stor,bee,0.153,0.956769681,ISA,,,,,,,,,,,,,
80,stor,bee,0,10.51001492,links per species,,,,,,,,,,,,,
81,stor,bee,0,9.478282655,NODF,,,,,,,,,,,,,
82,stor,bee,0,-6.522307297,CC Overall,,,,,,,,,,,,,
83,stor,bee,0,-12.91887195,CC Pollinators,,,,,,,,,,,,,
84,stor,bee,0,-11.99901986,CC Plants,,,,,,,,,,,,,
85,stor,combined,0.496,0.053093134,ISA,,,,,,,,,,,,,
86,stor,combined,0,10.27644572,links per species,,,,,,,,,,,,,
87,stor,combined,0,9.849721546,NODF,,,,,,,,,,,,,
88,stor,combined,0,-6.492583414,CC Overall,,,,,,,,,,,,,
89,stor,combined,0,-13.52833415,CC Pollinators,,,,,,,,,,,,,
90,stor,combined,0,-12.21593835,CC Plants,,,,,,,,,,,,,
91,stoc,wasp,0.289,-0.049772906,ISA,,,,,,,,,,,,,
92,stoc,wasp,0,13.64637837,links per species,,,,,,,,,,,,,
93,stoc,wasp,0,14.57475687,NODF,,,,,,,,,,,,,
94,stoc,wasp,0,-4.781225966,CC Overall,,,,,,,,,,,,,
95,stoc,wasp,0.001,-5.758932636,CC Pollinators,,,,,,,,,,,,,
96,stoc,wasp,0,-9.792428838,CC Plants,,,,,,,,,,,,,
97,stoc,bee,0.216,0.72823889,ISA,,,,,,,,,,,,,
98,stoc,bee,0,9.561218206,links per species,,,,,,,,,,,,,
99,stoc,bee,0,8.676916162,NODF,,,,,,,,,,,,,
100,stoc,bee,0.367,-6.03914935,CC Overall,,,,,,,,,,,,,
101,stoc,bee,0,-11.58190453,CC Pollinators,,,,,,,,,,,,,
102,stoc,bee,0,-11.48619769,CC Plants,,,,,,,,,,,,,
103,stoc,combined,0.38,-0.291481382,ISA,,,,,,,,,,,,,
104,stoc,combined,0,9.161440311,links per species,,,,,,,,,,,,,
105,stoc,combined,0,8.860537973,NODF,,,,,,,,,,,,,
106,stoc,combined,0.005,-6.82678463,CC Overall,,,,,,,,,,,,,
107,stoc,combined,0,-13.08255557,CC Pollinators,,,,,,,,,,,,,
108,stoc,combined,0,-12.06016247,CC Plants,,,,,,,,,,,,,
109,whor,wasp,NA,NA,ISA,,,,,,,,,,,,,
110,whor,wasp,0,14.12973033,links per species,,,,,,,,,,,,,
111,whor,wasp,0,8.535820987,NODF,,,,,,,,,,,,,
112,whor,wasp,0.108,-3.703234662,CC Overall,,,,,,,,,,,,,
113,whor,wasp,0.024,-6.944724005,CC Pollinators,,,,,,,,,,,,,
114,whor,wasp,0,-19.57861339,CC Plants,,,,,,,,,,,,,
115,whor,bee,0.066,1.270731021,ISA,,,,,,,,,,,,,
116,whor,bee,0,9.603210938,links per species,,,,,,,,,,,,,
117,whor,bee,0,7.992636739,NODF,,,,,,,,,,,,,
118,whor,bee,0,-4.823840417,CC Overall,,,,,,,,,,,,,
119,whor,bee,0,-9.081112858,CC Pollinators,,,,,,,,,,,,,
120,whor,bee,0,-11.41992092,CC Plants,,,,,,,,,,,,,
121,whor,combined,0.207,0.737174857,ISA,,,,,,,,,,,,,
122,whor,combined,0,9.546830839,links per species,,,,,,,,,,,,,
123,whor,combined,0,8.213788063,NODF,,,,,,,,,,,,,
124,whor,combined,0,-6.886342781,CC Overall,,,,,,,,,,,,,
125,whor,combined,0,-11.62261188,CC Pollinators,,,,,,,,,,,,,
126,whor,combined,0,-12.00255651,CC Plants,,,,,,,,,,,,,
127,whoc,wasp,NA,NA,ISA,,,,,,,,,,,,,
128,whoc,wasp,0,12.1066734,links per species,,,,,,,,,,,,,
129,whoc,wasp,0,33.3323302,NODF,,,,,,,,,,,,,
130,whoc,wasp,0,-3.69164832,CC Overall,,,,,,,,,,,,,
131,whoc,wasp,0.001,-5.986986185,CC Pollinators,,,,,,,,,,,,,
132,whoc,wasp,0,-8.691208133,CC Plants,,,,,,,,,,,,,
133,whoc,bee,NA,NA,ISA,,,,,,,,,,,,,
134,whoc,bee,0,29.6075112,links per species,,,,,,,,,,,,,
135,whoc,bee,0,14.46697816,NODF,,,,,,,,,,,,,
136,whoc,bee,0,-3.873430776,CC Overall,,,,,,,,,,,,,
137,whoc,bee,0.016,-5.369145838,CC Pollinators,,,,,,,,,,,,,
138,whoc,bee,0,-29.27760575,CC Plants,,,,,,,,,,,,,
139,whoc,combined,0.422,-0.113629532,ISA,,,,,,,,,,,,,
140,whoc,combined,0,12.92852544,links per species,,,,,,,,,,,,,
141,whoc,combined,0,11.66962896,NODF,,,,,,,,,,,,,
142,whoc,combined,0,-7.539577406,CC Overall,,,,,,,,,,,,,
143,whoc,combined,0.002,-8.270945812,CC Pollinators,,,,,,,,,,,,,
144,whoc,combined,0,-8.665350764,CC Plants,,,,,,,,,,,,,
